data;Índ. Dólar;dólar EUA spot;dólar-ouro;dólar-prata;méx.;euro-dólar EUA;libra-dól;Japão;reais BR;CRB Tot;CRB Ali;CRB Ind;CRB Met;CRB Ól.;CRB Text;CRB Gado;Soja Spot;Milho Spot;Açúcar Spot;Café A Spot;Café A Indx;Petróleo B;Petróleo W;Ouro;Prata
01/09/1998;99,19;1;278,85;4,805;9,9901;1,1183;1,6748;136,71;1,1768;;;;;;;;;;;;;;;;
02/09/1998;99,4;1;280,15;4,85;9,948;1,1176;1,6694;138,32;1,177;;;;;;;;;;;;;;;;
03/09/1998;98,38;1;284,95;4,955;10,12;1,1344;1,6761;134,35;1,1775;;;;;;;;;;;;;;;;
04/09/1998;98,2;1;286,85;5,025;10,22;1,1282;1,6726;133,53;1,1781;;;;;;;;;;;;;;;;
07/09/1998;97,87;1;288,45;5,045;10,22;1,1338;1,6675;131,9;1,1775;;;;;;;;;;;;;;;;
08/09/1998;98,18;1;286,05;4,915;10,2075;1,1323;1,6565;132,11;1,1768;;;;;;;;;;;;;;;;
09/09/1998;98,24;1;284,25;4,955;10,325;1,1351;1,6693;136,29;1,1791;;;;;;;;;;;;;;;;
10/09/1998;96,64;1;290,45;5,045;10,545;1,1565;1,6898;134,58;1,1794;;;;;;;;;;;;;;;;
11/09/1998;96,5;1;293,75;5,025;10,605;1,1598;1,6728;130,95;1,1793;;;;;;;;;;;;;;;;
14/09/1998;96,8;1;290,35;4,965;10,485;1,1493;1,6796;132,13;1,1804;;;;;;;;;;;;;;;;
15/09/1998;96,51;1;289,95;4,965;10,17;1,1597;1,6755;134;1,1798;;;;;;;;;;;;;;;;
16/09/1998;96,76;1;287,85;4,935;10,095;1,1566;1,6788;134,15;1,1796;;;;;;;;;;;;;;;;
17/09/1998;96,47;1;291,45;5,015;10,235;1,1641;1,6826;131,87;1,1801;;;;;;;;;;;;;;;;
18/09/1998;96,71;1;291,45;4,975;10,185;1,1567;1,6812;132,75;1,1807;;;;;;;;;;;;;;;;
21/09/1998;96,77;1;288,95;4,865;10,18;1,1631;1,6823;134,57;1,1816;;;;;;;;;;;;;;;;
22/09/1998;96,63;1;287,85;4,905;10,1754;1,161;1,6811;135,52;1,183;;;;;;;;;;;;;;;;
23/09/1998;96,45;1;289,75;5,055;10,1079;1,1597;1,6854;135,63;1,1839;;;;;;;;;;;;;;;;
24/09/1998;96,22;1;294,15;5,165;10,1895;1,1658;1,6848;134,89;1,1835;;;;;;;;;;;;;;;;
25/09/1998;96,38;1;294,15;5,165;10,1065;1,1706;1,6977;136,15;1,1848;;;;;;;;;;;;;;;;
28/09/1998;96,12;1;295,85;5,285;10,165;1,1643;1,7108;135,93;1,1849;;;;;;;;;;;;;;;;
29/09/1998;95,82;1;294,65;5,365;10,1375;1,166;1,7099;134,4;1,185;;;;;;;;;;;;;;;;
